Location,Total Land Area (acres),Number of Cows,Farm Size,Date,Product ID,Product Name,Brand,Quantity (liters/kg),Price per Unit,Total Value,Shelf Life (days),Storage Condition,Production Date,Expiration Date,Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Customer Location,Sales Channel,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg)
Bihar,338.45,85,Small,2022-08-08,3,Cheese,Britannia Industries,220.03,13.94,3067.2182,43,Frozen,2022-07-01,2022-08-13,62,14.13,876.06,Telangana,Online,158,29.59,193.62
Gujarat,30.85,41,Large,2020-04-16,4,Yogurt,Amul,524.57,84.48,44315.67360000001,28,Frozen,2020-04-04,2020-05-02,173,89.32,15452.36,Tamil Nadu,Retail,351,92.88,37.73
Karnataka,395.58,79,Small,2022-03-03,3,Cheese,Britannia Industries,879.11,90.1,79207.811,36,Frozen,2022-02-04,2022-03-12,610,91.05,55540.5,Rajasthan,Online,269,48.9,86.16
Maharashtra,276.44,80,Small,2021-10-24,6,Curd,Sudha,212.56,81.31,17283.2536,5,Refrigerated,2021-08-26,2021-08-31,55,76.37,4200.35,Tamil Nadu,Online,157,18.64,64.06
Rajasthan,551.85,12,Large,2021-11-17,9,Paneer,Sudha,886.35,62.21,55139.8335,8,Refrigerated,2021-10-23,2021-10-31,845,66.7,56361.5,Jharkhand,Wholesale,41,46.25,70.4
Madhya Pradesh,109.69,27,Small,2022-07-26,2,Butter,Warana,430.46,89.64,38586.4344,37,Frozen,2022-07-05,2022-08-11,47,92.96,4369.12,Maharashtra,Wholesale,383,21.55,184.32
Jharkhand,15.88,90,Small,2022-09-25,2,Butter,Warana,440.42,77.46,34114.9332,36,Frozen,2022-08-20,2022-09-25,246,77.53,19072.38,Chandigarh,Retail,194,88.03,53.81
Chandigarh,456.36,45,Medium,2020-06-24,6,Curd,Mother Dairy,565.23,86.39,48830.2197,6,Refrigerated,2020-05-21,2020-05-27,305,84.57,25793.85,Maharashtra,Retail,260,25.75,124.9
Kerala,98.07,87,Small,2021-01-13,7,Lassi,Sudha,101.56,18.99,1928.6244,14,Refrigerated,2021-01-07,2021-01-21,26,21.19,550.94,Tamil Nadu,Retail,75,52.26,113.92
Chandigarh,726.57,57,Large,2020-05-25,9,Paneer,Amul,770.27,80.1,61698.62699999999,7,Refrigerated,2020-05-02,2020-05-09,557,81.76,45540.32,Madhya Pradesh,Retail,213,83.63,79.83
Delhi,509.17,41,Large,2020-03-27,2,Butter,Amul,985.95,92.69,91387.7055,28,Refrigerated,2020-02-21,2020-03-20,56,96.86,5424.16,Rajasthan,Retail,929,37.94,187.73
Bihar,573.99,100,Medium,2022-01-01,9,Paneer,Mother Dairy,595.79,44.3,26393.496999999996,12,Refrigerated,2021-11-28,2021-12-10,137,46.82,6414.34,Madhya Pradesh,Wholesale,458,91.23,73.05
Tamil Nadu,589.36,97,Medium,2019-10-02,10,Ghee,Amul,581.5,43.88,25516.22,136,Ambient,2019-08-23,2020-01-06,86,41.49,3568.14,Delhi,Wholesale,495,54.72,156.21
Karnataka,197.58,65,Small,2019-05-14,4,Yogurt,Dodla Dairy,332.87,97.87,32577.986900000004,22,Frozen,2019-03-19,2019-04-10,95,101.56,9648.2,Karnataka,Retail,237,75.91,59.2
Bihar,639.32,25,Large,2022-04-28,1,Milk,Raj,652.4,61.24,39952.976,1,Polythene Packet,2022-04-12,2022-04-13,389,65.53,25491.17,Telangana,Retail,263,45.01,121.01
Chandigarh,750.03,81,Small,2020-01-11,10,Ghee,Amul,486.43,27.23,13245.4889,129,Ambient,2019-12-20,2020-04-27,384,25.51,9795.84,Kerala,Online,102,99.86,189.33
Maharashtra,987.14,52,Large,2021-01-28,7,Lassi,Sudha,524.71,49.39,25915.426900000002,17,Refrigerated,2020-12-22,2021-01-08,167,45.86,7658.62,Gujarat,Retail,357,33.58,118.33
Karnataka,783.65,77,Large,2022-07-11,7,Lassi,Sudha,675.65,36.87,24911.2155,12,Refrigerated,2022-05-28,2022-06-09,671,32.92,22089.32,Rajasthan,Wholesale,4,10.25,55.87
Jharkhand,373.77,79,Medium,2021-06-09,6,Curd,Amul,267.21,27.31,7297.505099999999,6,Refrigerated,2021-04-18,2021-04-24,116,22.62,2623.92,Kerala,Wholesale,151,53.34,42.38
Chandigarh,819.45,42,Medium,2019-02-23,8,Buttermilk,Mother Dairy,801.25,34.8,27883.499999999996,14,Refrigerated,2019-01-25,2019-02-08,292,38.9,11358.8,Telangana,Wholesale,509,46.12,32.45
Delhi,778.16,42,Large,2019-12-11,7,Lassi,Raj,112.8,91.62,10334.736,13,Refrigerated,2019-10-30,2019-11-12,104,93.93,9768.72,Bihar,Retail,8,92.48,104.82
Tamil Nadu,428.84,88,Medium,2022-02-08,7,Lassi,Sudha,797.52,92.04,73403.7408,13,Refrigerated,2022-01-13,2022-01-26,715,89.08,63692.2,Haryana,Wholesale,82,17.51,21.64
Chandigarh,389.58,36,Large,2021-04-09,5,Ice Cream,Amul,675.77,52.35,35376.5595,24,Frozen,2021-02-20,2021-03-16,6,54.41,326.46,Gujarat,Wholesale,669,15.3,106.03
Rajasthan,332.75,98,Medium,2019-10-23,1,Milk,Sudha,865.01,46.37,40110.513699999996,2,Polythene Packet,2019-10-11,2019-10-13,302,42.34,12786.68,Delhi,Retail,563,70.1,170.61
Chandigarh,524.45,67,Medium,2019-09-20,2,Butter,Amul,8.47,90.79,768.9913000000001,38,Refrigerated,2019-08-12,2019-09-19,3,87.28,261.84,Delhi,Retail,5,54.58,128.52
Madhya Pradesh,816.9,21,Small,2021-02-01,9,Paneer,Amul,381.78,23.83,9097.817399999998,10,Refrigerated,2020-12-20,2020-12-30,82,20.25,1660.5,Delhi,Wholesale,299,39.14,188.98
Madhya Pradesh,343.51,12,Medium,2020-05-03,1,Milk,Raj,834.13,25.48,21253.6324,1,Polythene Packet,2020-03-25,2020-03-26,406,27.22,11051.32,Telangana,Online,428,58.16,128.69
Haryana,201.32,37,Medium,2019-08-15,7,Lassi,Amul,681.45,78.56,53534.71200000001,16,Refrigerated,2019-07-04,2019-07-20,552,74.45,41096.4,Haryana,Retail,129,64.85,86.46
Chandigarh,827.42,82,Large,2019-03-03,9,Paneer,Raj,988.64,55.77,55136.4528,9,Refrigerated,2019-02-25,2019-03-06,262,52.57,13773.34,Telangana,Retail,726,78.44,138.43
Jharkhand,327.49,65,Medium,2019-11-28,8,Buttermilk,Mother Dairy,410.48,41.31,16956.9288,11,Refrigerated,2019-10-27,2019-11-07,141,43.02,6065.82,Delhi,Online,269,62.67,83.4
Rajasthan,226.52,53,Large,2021-03-08,5,Ice Cream,Dodla Dairy,351.11,58.25,20452.1575,29,Frozen,2021-03-03,2021-04-01,305,62.31,19004.55,Rajasthan,Online,46,51.48,147.89
Rajasthan,338.65,79,Large,2020-01-16,8,Buttermilk,Mother Dairy,83.31,62.03,5167.719300000001,13,Refrigerated,2020-01-14,2020-01-27,62,65.24,4044.88,West Bengal,Retail,21,21.47,112.76
Delhi,672.52,32,Medium,2019-01-07,2,Butter,Amul,30.69,89.8,2755.962,29,Frozen,2018-11-28,2018-12-27,22,92.23,2029.06,Uttar Pradesh,Retail,8,27.1,22.11
Kerala,976.62,76,Small,2021-05-15,9,Paneer,Sudha,9.78,82.89,810.6641999999999,14,Refrigerated,2021-03-31,2021-04-14,2,85.42,170.84,Madhya Pradesh,Wholesale,7,50.62,197.39
Maharashtra,71.89,12,Small,2022-09-22,3,Cheese,Passion Cheese,953.21,48.71,46430.8591,42,Refrigerated,2022-08-28,2022-10-09,705,45.04,31753.2,Chandigarh,Retail,248,11.47,68.17
Telangana,386.08,98,Small,2021-05-26,7,Lassi,Amul,707.2,98.37,69567.26400000001,12,Refrigerated,2021-05-14,2021-05-26,145,101.64,14737.8,Kerala,Retail,562,65.74,122.35
Maharashtra,968.19,48,Medium,2021-04-20,6,Curd,Raj,839.1,56.07,47048.337,6,Refrigerated,2021-04-01,2021-04-07,11,58.17,639.87,Gujarat,Online,828,25.18,144.48
Delhi,744.96,19,Medium,2021-02-07,10,Ghee,Mother Dairy,960.28,68.66,65932.82479999999,137,Ambient,2021-01-13,2021-05-30,956,69.79,66719.24,Tamil Nadu,Wholesale,4,38.11,199.68
Telangana,654.24,19,Large,2020-09-22,4,Yogurt,Palle2patnam,65.8,82.43,5423.894,30,Frozen,2020-09-21,2020-10-21,26,84.9,2207.4,Maharashtra,Online,39,67.7,95.52
Rajasthan,418.17,20,Large,2019-11-17,10,Ghee,Sudha,685.84,92.97,63762.5448,143,Ambient,2019-11-07,2020-03-29,634,95.09,60287.06,Chandigarh,Retail,51,78.67,99.91
Delhi,76.43,31,Small,2022-12-18,4,Yogurt,Dodla Dairy,754.25,20.21,15243.3925,28,Frozen,2022-10-24,2022-11-21,290,21.16,6136.4,Rajasthan,Online,464,75.4,82.78
Chandigarh,647.03,74,Small,2021-01-02,5,Ice Cream,Palle2patnam,750.7,86.58,64995.606,26,Frozen,2020-12-04,2020-12-30,696,83.73,58276.08,Delhi,Wholesale,54,31.69,187.36
Chandigarh,126.19,90,Large,2019-12-17,10,Ghee,Amul,838.85,61.21,51346.0085,147,Ambient,2019-12-07,2020-05-02,392,61.22,23998.24,Jharkhand,Wholesale,446,34.63,46.0
Delhi,948.51,94,Small,2019-08-24,2,Butter,Mother Dairy,791.17,45.01,35610.5617,37,Frozen,2019-08-08,2019-09-14,534,48.01,25637.34,Chandigarh,Wholesale,257,80.22,59.28
Uttar Pradesh,377.27,100,Medium,2021-11-07,1,Milk,Mother Dairy,62.79,95.03,5966.9337,21,Tetra Pack,2021-09-17,2021-10-08,16,93.22,1491.52,Bihar,Wholesale,46,10.47,152.91
Gujarat,266.22,58,Large,2020-04-15,4,Yogurt,Amul,931.71,45.36,42262.365600000005,26,Refrigerated,2020-04-09,2020-05-05,834,40.97,34168.98,Gujarat,Wholesale,97,47.75,30.21
Uttar Pradesh,291.16,77,Large,2020-09-10,7,Lassi,Raj,398.09,22.2,8837.598,14,Refrigerated,2020-07-22,2020-08-05,304,23.26,7071.04,Uttar Pradesh,Online,94,89.77,81.83
Rajasthan,132.6,22,Medium,2021-09-10,4,Yogurt,Mother Dairy,548.97,27.07,14860.617900000001,25,Refrigerated,2021-08-31,2021-09-25,386,25.29,9761.94,Telangana,Online,162,28.6,140.82
Maharashtra,966.32,79,Medium,2019-05-11,4,Yogurt,Amul,357.6,68.17,24377.592,27,Frozen,2019-03-25,2019-04-21,9,65.87,592.83,Chandigarh,Wholesale,348,82.26,113.24
Chandigarh,85.67,19,Medium,2021-10-11,10,Ghee,Raj,455.19,44.64,20319.6816,144,Ambient,2021-09-10,2022-02-01,420,48.13,20214.6,Madhya Pradesh,Online,35,40.44,148.64
Jharkhand,478.25,40,Large,2022-06-15,1,Milk,Raj,156.97,81.7,12824.449,1,Polythene Packet,2022-06-06,2022-06-07,103,80.26,8266.78,Chandigarh,Retail,53,38.15,44.82
Bihar,351.15,38,Large,2020-09-14,6,Curd,Sudha,120.72,44.7,5396.184,5,Refrigerated,2020-08-05,2020-08-10,78,48.75,3802.5,Bihar,Online,42,25.08,69.37
Karnataka,472.49,23,Small,2022-07-10,8,Buttermilk,Sudha,23.96,53.76,1288.0896,11,Refrigerated,2022-05-31,2022-06-11,23,56.57,1301.11,Madhya Pradesh,Online,0,41.42,186.26
Delhi,872.78,35,Large,2020-05-11,1,Milk,Sudha,373.21,38.88,14510.4048,1,Polythene Packet,2020-05-10,2020-05-11,166,36.18,6005.88,Rajasthan,Retail,207,26.68,44.52
Chandigarh,414.17,38,Small,2019-08-03,6,Curd,Mother Dairy,551.14,64.01,35278.4714,5,Refrigerated,2019-06-16,2019-06-21,203,65.1,13215.3,Telangana,Wholesale,348,89.68,119.95
Maharashtra,162.03,28,Medium,2021-06-25,4,Yogurt,Mother Dairy,595.93,35.46,21131.677799999998,27,Frozen,2021-06-12,2021-07-09,54,34.78,1878.12,Madhya Pradesh,Online,541,74.07,155.47
Haryana,829.55,32,Medium,2022-07-02,1,Milk,Amul,928.93,50.94,47319.6942,22,Tetra Pack,2022-05-26,2022-06-17,869,54.74,47569.06,Jharkhand,Online,59,97.61,158.99
Karnataka,315.14,24,Medium,2020-10-09,8,Buttermilk,Raj,118.22,20.18,2385.6796,12,Refrigerated,2020-09-19,2020-10-01,84,15.64,1313.76,Jharkhand,Online,34,40.9,157.94
Uttar Pradesh,716.54,90,Large,2019-07-13,3,Cheese,Amul,197.25,99.96,19717.11,29,Refrigerated,2019-06-08,2019-07-07,150,100.74,15111.0,Jharkhand,Wholesale,47,28.23,93.72
Gujarat,364.27,41,Small,2020-03-10,5,Ice Cream,Palle2patnam,69.59,95.3,6631.927,28,Frozen,2020-02-20,2020-03-19,36,98.67,3552.12,Gujarat,Retail,33,62.77,87.86
Uttar Pradesh,605.79,38,Small,2019-04-02,2,Butter,Amul,705.44,77.71,54819.7424,40,Refrigerated,2019-02-17,2019-03-29,279,80.91,22573.89,Tamil Nadu,Retail,426,10.55,66.62
Jharkhand,175.31,69,Large,2020-06-09,6,Curd,Amul,336.47,65.23,21947.938100000003,6,Refrigerated,2020-04-18,2020-04-24,108,61.59,6651.72,West Bengal,Wholesale,228,63.42,100.69
Jharkhand,908.72,39,Large,2021-10-03,4,Yogurt,Mother Dairy,616.07,80.74,49741.4918,27,Frozen,2021-09-01,2021-09-28,362,83.85,30353.7,Uttar Pradesh,Wholesale,254,61.49,132.2
West Bengal,11.73,54,Small,2020-08-17,10,Ghee,Mother Dairy,343.94,43.79,15061.132599999999,135,Ambient,2020-07-21,2020-12-03,320,43.76,14003.2,Karnataka,Retail,23,44.92,24.81
Jharkhand,53.08,95,Medium,2022-01-05,1,Milk,Sudha,999.78,49.06,49049.2068,2,Polythene Packet,2021-12-19,2021-12-21,499,48.14,24021.86,Rajasthan,Online,500,39.56,41.02
Rajasthan,746.23,98,Medium,2022-10-18,3,Cheese,Amul,211.51,63.08,13342.050799999999,59,Refrigerated,2022-08-28,2022-10-26,206,64.22,13229.32,West Bengal,Online,5,81.94,85.62
Uttar Pradesh,880.7,78,Large,2022-05-15,4,Yogurt,Palle2patnam,504.33,76.58,38621.5914,28,Refrigerated,2022-04-20,2022-05-18,490,81.37,39871.3,Delhi,Retail,14,73.82,49.34
Gujarat,776.36,17,Medium,2021-08-25,2,Butter,Parag Milk Foods,535.1,13.66,7309.466,39,Frozen,2021-07-08,2021-08-16,18,8.83,158.94,Jharkhand,Retail,517,32.01,46.46
Uttar Pradesh,951.4,30,Large,2019-03-11,10,Ghee,Sudha,729.21,16.37,11937.167700000002,85,Ambient,2019-02-18,2019-05-14,458,12.86,5889.88,Rajasthan,Wholesale,271,52.59,188.98
Maharashtra,53.06,62,Medium,2020-11-01,8,Buttermilk,Sudha,149.16,86.32,12875.491199999999,13,Refrigerated,2020-10-19,2020-11-01,140,81.47,11405.8,Uttar Pradesh,Online,9,25.63,185.72
Gujarat,484.34,61,Small,2019-09-06,9,Paneer,Raj,674.12,43.22,29135.4664,11,Refrigerated,2019-08-13,2019-08-24,230,42.79,9841.7,Gujarat,Retail,444,99.99,131.43
Tamil Nadu,291.79,55,Large,2020-09-16,3,Cheese,Dynamix Dairies,627.29,28.93,18147.4997,30,Refrigerated,2020-09-01,2020-10-01,465,29.8,13857.0,West Bengal,Online,162,27.19,46.76
Madhya Pradesh,84.24,77,Small,2019-10-25,6,Curd,Raj,865.53,45.95,39771.103500000005,7,Refrigerated,2019-08-30,2019-09-06,581,49.38,28689.78,Telangana,Wholesale,284,51.12,123.76
West Bengal,240.04,89,Large,2019-11-10,8,Buttermilk,Raj,582.19,52.51,30570.7969,13,Refrigerated,2019-10-01,2019-10-14,556,53.75,29885.0,Madhya Pradesh,Retail,26,21.15,91.16
Karnataka,728.93,94,Large,2022-11-23,1,Milk,Sudha,280.1,78.72,22049.472,29,Tetra Pack,2022-11-20,2022-12-19,163,75.83,12360.29,Rajasthan,Retail,117,39.3,119.41
Kerala,845.18,66,Medium,2020-05-06,7,Lassi,Sudha,331.3,67.3,22296.49,12,Refrigerated,2020-04-07,2020-04-19,135,67.91,9167.85,Delhi,Retail,196,82.87,190.42
Delhi,872.75,29,Large,2019-11-23,1,Milk,Sudha,229.17,29.49,6758.2233,28,Tetra Pack,2019-10-28,2019-11-25,159,34.04,5412.36,Kerala,Wholesale,70,28.29,22.58
West Bengal,287.81,88,Medium,2022-07-22,3,Cheese,Dynamix Dairies,38.2,75.82,2896.324,44,Refrigerated,2022-06-09,2022-07-23,3,77.91,233.73,Rajasthan,Online,35,72.22,38.25
Gujarat,305.81,66,Medium,2021-07-05,6,Curd,Amul,242.26,26.85,6504.6810000000005,7,Refrigerated,2021-07-01,2021-07-08,158,25.72,4063.76,Jharkhand,Retail,84,58.3,186.84
Madhya Pradesh,845.65,48,Medium,2022-10-18,3,Cheese,Britannia Industries,898.01,25.44,22845.3744,82,Frozen,2022-09-04,2022-11-25,674,27.1,18265.4,Uttar Pradesh,Online,224,70.14,111.3
Chandigarh,670.22,73,Large,2020-02-27,7,Lassi,Amul,648.13,99.03,64184.3139,16,Refrigerated,2020-01-08,2020-01-24,597,103.49,61783.53,Kerala,Retail,51,84.53,83.17
Tamil Nadu,813.84,29,Medium,2019-11-16,10,Ghee,Mother Dairy,303.9,35.1,10666.89,147,Ambient,2019-10-05,2020-02-29,296,36.16,10703.36,Rajasthan,Wholesale,7,87.43,112.99
Uttar Pradesh,104.95,58,Medium,2022-11-13,2,Butter,Parag Milk Foods,615.24,95.65,58847.706000000006,28,Frozen,2022-09-23,2022-10-21,281,96.42,27094.02,Delhi,Retail,334,46.01,130.83
Gujarat,178.74,14,Large,2022-04-21,1,Milk,Raj,105.47,27.19,2867.7293,1,Polythene Packet,2022-03-05,2022-03-06,50,27.0,1350.0,West Bengal,Wholesale,55,79.2,64.33
Chandigarh,790.64,46,Large,2022-04-21,4,Yogurt,Amul,928.58,82.34,76459.27720000001,24,Refrigerated,2022-03-31,2022-04-24,552,78.38,43265.76,Gujarat,Retail,376,15.44,24.86
Karnataka,836.93,43,Large,2020-06-16,4,Yogurt,Dodla Dairy,862.73,98.65,85108.31450000001,23,Refrigerated,2020-06-11,2020-07-04,7,99.66,697.62,Chandigarh,Online,855,14.71,51.89
Jharkhand,490.22,66,Large,2021-08-21,1,Milk,Sudha,904.53,21.58,19519.7574,2,Polythene Packet,2021-07-13,2021-07-15,129,22.4,2889.6,Maharashtra,Online,775,97.75,180.13
Karnataka,953.38,37,Small,2019-01-09,9,Paneer,Mother Dairy,969.09,61.34,59443.9806,7,Refrigerated,2018-12-08,2018-12-15,779,60.15,46856.85,Kerala,Wholesale,190,32.08,128.68
Rajasthan,760.89,72,Large,2022-08-13,3,Cheese,Amul,215.99,27.78,6000.202200000001,74,Refrigerated,2022-07-24,2022-10-06,39,23.87,930.93,Madhya Pradesh,Wholesale,176,89.31,132.49
Delhi,521.82,82,Large,2019-06-05,8,Buttermilk,Sudha,394.68,85.32,33674.0976,12,Refrigerated,2019-06-03,2019-06-15,104,81.24,8448.96,West Bengal,Online,290,68.67,94.0
Chandigarh,479.23,23,Large,2019-01-26,1,Milk,Mother Dairy,86.33,48.91,4222.400299999999,28,Tetra Pack,2018-12-11,2019-01-08,84,45.16,3793.44,Rajasthan,Online,2,32.22,91.81
Chandigarh,782.36,28,Large,2021-06-09,3,Cheese,Amul,448.41,64.9,29101.809000000005,39,Refrigerated,2021-04-12,2021-05-21,36,63.9,2300.4,Maharashtra,Online,412,67.42,105.24
Tamil Nadu,532.8,52,Large,2022-12-19,8,Buttermilk,Mother Dairy,959.1,80.71,77408.961,14,Refrigerated,2022-12-09,2022-12-23,263,81.78,21508.14,Rajasthan,Retail,696,17.87,52.32
Delhi,423.46,46,Large,2020-11-18,5,Ice Cream,Amul,950.71,38.42,36526.2782,24,Frozen,2020-11-01,2020-11-25,459,36.69,16840.71,Gujarat,Retail,491,41.25,182.23
Madhya Pradesh,577.76,13,Small,2019-12-27,5,Ice Cream,Dodla Dairy,661.7,76.05,50322.285,29,Frozen,2019-12-08,2020-01-06,275,73.34,20168.5,Chandigarh,Online,386,54.28,31.0
Chandigarh,540.29,58,Medium,2022-05-11,8,Buttermilk,Sudha,682.38,46.2,31525.956000000002,8,Refrigerated,2022-04-17,2022-04-25,313,41.5,12989.5,Uttar Pradesh,Wholesale,369,24.91,28.2
Kerala,299.33,58,Small,2021-04-04,1,Milk,Sudha,662.83,73.51,48724.63330000001,23,Tetra Pack,2021-03-21,2021-04-13,131,75.47,9886.57,Uttar Pradesh,Online,531,61.61,147.88
Delhi,811.18,73,Medium,2020-07-18,8,Buttermilk,Raj,41.39,67.85,2808.3115,13,Refrigerated,2020-05-19,2020-06-01,9,65.07,585.63,Gujarat,Online,32,44.27,67.3
Bihar,603.54,44,Small,2021-11-11,6,Curd,Sudha,408.73,34.92,14272.851600000002,7,Refrigerated,2021-11-01,2021-11-08,187,34.0,6358.0,Chandigarh,Online,221,11.06,123.37
Chandigarh,995.55,90,Medium,2019-03-13,6,Curd,Raj,576.03,58.83,33887.8449,5,Refrigerated,2019-02-19,2019-02-24,332,62.34,20696.88,West Bengal,Retail,244,65.34,164.95
Delhi,550.58,89,Small,2022-03-01,1,Milk,Sudha,59.99,51.59,3094.8841,27,Tetra Pack,2022-02-25,2022-03-24,22,51.83,1140.26,Karnataka,Online,37,30.77,164.92
Maharashtra,34.41,92,Large,2019-11-19,2,Butter,Parag Milk Foods,771.93,19.17,14797.8981,33,Frozen,2019-10-26,2019-11-28,554,15.52,8598.08,Chandigarh,Retail,217,30.82,172.32
West Bengal,518.23,59,Medium,2020-08-21,8,Buttermilk,Sudha,833.58,20.43,17030.0394,10,Refrigerated,2020-07-28,2020-08-07,463,16.51,7644.13,Madhya Pradesh,Retail,370,51.4,117.04
Telangana,898.35,61,Medium,2021-03-02,6,Curd,Mother Dairy,520.56,91.25,47501.1,7,Refrigerated,2021-01-05,2021-01-12,358,91.27,32674.66,Uttar Pradesh,Online,162,26.62,48.34
Delhi,769.43,55,Large,2022-09-03,3,Cheese,Dynamix Dairies,252.87,85.18,21539.466600000003,81,Refrigerated,2022-08-08,2022-10-28,137,87.69,12013.53,Gujarat,Wholesale,115,31.94,47.74
Maharashtra,699.19,96,Small,2021-06-10,9,Paneer,Amul,571.27,59.43,33950.5761,7,Refrigerated,2021-04-15,2021-04-22,217,64.24,13940.08,Rajasthan,Retail,354,59.8,124.23
Madhya Pradesh,603.11,73,Medium,2019-11-18,7,Lassi,Amul,333.33,16.94,5646.6102,13,Refrigerated,2019-09-25,2019-10-08,127,12.67,1609.09,Madhya Pradesh,Wholesale,206,82.77,106.76
Madhya Pradesh,713.33,48,Large,2022-05-09,3,Cheese,Amul,541.95,76.59,41507.950500000006,50,Frozen,2022-03-20,2022-05-09,467,79.62,37182.54,Tamil Nadu,Online,74,73.6,33.07
